id,desc_tr
P0100,Kütle veya Hacim Hava Akış Devresi Arızası
P0101,Kütle veya Hacim Hava Akışı Devre Aralığı/Performans Sorunu
P0102,Kütle veya Hacim Hava Akışı Devresi Düşük Girişi
P0103,Kütle veya Hacim Hava Akışı Devresi Yüksek Girişi
P0104,Kütle veya Hacim Hava Akışı Devresi Aralıklı
P0105,Manifold Mutlak Basınç/Barometrik Basınç Devresi Arızası
P0106,Manifold Mutlak Basınç/Barometrik Basınç Devre Aralığı/Performans Sorunu
P0107,Manifold Mutlak Basınç/Barometrik Basınç Devresi Düşük Girişi
P0108,Manifold Mutlak Basınç/Barometrik Basınç Devresi Yüksek Girişi
P0109,Manifold Mutlak Basınç/Barometrik Basınç Devresi Aralıklı
P0110,IAT Devre Arızası
P0111,Emme Havası Sıcaklığı Devre Aralığı/Performans Sorunu
P0112,Emme Hava Sıcaklığı Devresi Düşük Girişi
P0113,Emme Hava Sıcaklığı Devresi Yüksek Girişi
P0114,Emme Hava Sıcaklığı Devresi Aralıklı
P0115,Motor Soğutucu Sıcaklığı Devre Arızası
P0116,Motor Soğutucu Sıcaklığı Devre Aralığı/Performans Sorunu
P0117,Motor Soğutucu Sıcaklığı Devresi Düşük Girişi
P0118,Motor Soğutucu Sıcaklığı Devresi Yüksek Girişi
P0119,Motor Soğutucu Sıcaklığı Devresi Aralıklı
P0120,Gaz Kelebeği Konum Sensörü/Anahtarı Devre Arızası
P0121,Gaz Kelebeği Konum Sensörü/Anahtarı Devre Aralığı/Performans Sorunu
P0122,Gaz Kelebeği Konum Sensörü/Anahtarı A Devresi Düşük Girişi
P0123,Gaz Kelebeği Konum Sensörü/Anahtarı A Devresi Yüksek Girişi
P0124,Gaz Kelebeği Konum Sensörü/Anahtarı Devre Aralıklı
P0125,Kapalı Çevrim Yakıt Kontrolü için Yetersiz Soğutucu Sıcaklığı;
P0126,ECT Kapalı Döngü Yakıt Kontrolüne Aşırı Süre
P0128,Kararlı Çalışma için Yetersiz Soğutma Sıvısı Sıcaklığı
P0130,Soğutucu Termostat Arızası
P0131,O2 Sensör Devresi Arızası (Sıra 1 Sensör 1)
P0132,O2 Sensör Devresi Düşük Gerilimi (Sıra 1 Sensör 1)
P0133,O2 Sensör Devresi Yüksek Gerilimi (Sıra 1 Sensör 1)
P0134,O2 Sensör Devresi Yavaş Yanıtı (Sıra 1 Sensör 1)
P0135,O2 Sensör Devresinde Etkinlik Algılanmadı (Sıra 1 Sensör 1)
P0136,O2 Sensörü Isıtıcı Devresi Arızası (Sıra 1 Sensör 1)
P0137,O2 Sensör Devresi Arızası (Sıra 1 Sensör 2)
P0138,O2 Sensör Devresi Düşük Gerilimi (Sıra 1 Sensör 2)
P0139,O2 Sensör Devresi Yüksek Gerilimi (Sıra 1 Sensör 2)
P0140,O2 Sensör Devresi Yavaş Yanıtı (Sıra 1 Sensör 2)
P0141,O2 Sensörü Devresinde Etkinlik Algılanmadı (Sıra 1 Sensör 2)
P0142,O2 Sensörü Isıtıcı Devresi Arızası (Sıra 1 Sensör 2)
P0143,O2 Sensör Devresi Arızası (Sıra 1 Sensör 3)
P0144,O2 Sensör Devresi Düşük Gerilimi (Sıra 1 Sensör 3)
P0145,O2 Sensör Devresi Yüksek Gerilimi (Sıra 1 Sensör 3)
P0146,O2 Sensör Devresi Yavaş Yanıtı (Sıra 1 Sensör 3)
P0147,O2 Sensörü Devresinde Etkinlik Algılanmadı (Sıra 1 Sensör 3)
P0150,O2 Sensörü Isıtıcı Devresi Arızası (Sıra 1 Sensör 3)
P0151,O2 Sensör Devresi Arızası (Sıra 2 Sensör 1)
P0152,O2 Sensör Devresi Düşük Gerilimi (Sıra 2 Sensör 1)
P0153,O2 Sensör Devresi Yüksek Gerilimi (Sıra 2 Sensör 1)
P0154,O2 Sensör Devresi Yavaş Yanıtı (Sıra 2 Sensör 1)
P0155,O2 Sensör Devresinde Etkinlik Algılanmadı (Sıra 2 Sensör 1)
P0156,O2 Sensörü Isıtıcı Devresi Arızası (Sıra 2 Sensör 1)
P0157,O2 Sensör Devresi Arızası (Sıra 2 Sensör 2)
P0158,O2 Sensör Devresi Düşük Gerilimi (Sıra 2 Sensör 2)
P0159,O2 Sensör Devresi Yüksek Gerilimi (Sıra 2 Sensör 2)
P0160,O2 Sensör Devresi Yavaş Yanıtı (Sıra 2 Sensör 2)
P0161,O2 Sensör Devresinde Etkinlik Algılanmadı (Sıra 2 Sensör 2)
P0162,O2 Sensörü Isıtıcı Devresi Arızası (Sıra 2 Sensör 2)
P0163,O2 Sensör Devresi Arızası (Sıra 2 Sensör 3)
P0164,O2 Sensör Devresi Düşük Gerilimi (Sıra 2 Sensör 3)
P0165,O2 Sensör Devresi Yüksek Gerilimi (Sıra 2 Sensör 3)
P0166,O2 Sensör Devresi Yavaş Yanıtı (Sıra 2 Sensör 3)
P0167,O2 Sensör Devresinde Etkinlik Algılanmadı (Sıra 2 Sensör 3)
P0170,O2 Sensörü Isıtıcı Devresi Arızası (Sıra 2 Sensör 3)
P0171,Yakıt Trim Arızası (Sıra 1)
P0172,Yakıt Trimleme Sistemi Yalın (Sıra 1)
P0173,Yakıt Trimi Çok Zengin (Sıra 1)
P0174,Yakıt Trim Arızası (Sıra 2)
P0175,Yakıt Trimi Çok Zayıf (Sıra 2)
P0176,Yakıt Trimi Çok Zengin (Sıra 2)
P0177,Yakıt Bileşimi Sensörü Devresi Arızası
P0178,Yakıt Bileşimi Sensörü Devre Aralığı/Performansı
P0179,Yakıt Bileşimi Sensörü Devresi Düşük Girişi
P0180,Yakıt Bileşimi Sensörü Devresi Yüksek Girişi
P0181,Yakıt Sıcaklık Sensörü A Devresi Arızası
P0182,Yakıt Sıcaklık Sensörü A Devre Aralığı/Performansı
P0183,Yakıt Sıcaklık Sensörü A Devresi Düşük Girişi
P0184,Yakıt Sıcaklık Sensörü A Devresi Yüksek Girişi
P0185,Yakıt Sıcaklık Sensörü A Devresi Aralıklı
P0186,Yakıt Sıcaklık Sensörü B Devresi Arızası
P0187,Yakıt Sıcaklık Sensörü B Devre Aralığı/Performansı
P0188,Yakıt Sıcaklık Sensörü B Devresi Düşük Girişi
P0189,Yakıt Sıcaklık Sensörü B Devresi Yüksek Girişi
P0190,Yakıt Sıcaklık Sensörü B Devresi Aralıklı
P0191,Yakıt Rayı Basınç Sensörü Devresi Arızası
P0192,Yakıt Rayı Basınç Sensörü Devre Aralığı/Performansı
P0193,Yakıt Rayı Basınç Sensörü Devresi Düşük Girişi
P0194,Yakıt Rayı Basınç Sensörü Devresi Yüksek Girişi
P0195,Yakıt Rayı Basınç Sensörü Devresi Aralıklı
P0196,Motor Yağı Sıcaklık Sensörü Arızası
P0197,Motor Yağı Sıcaklık Sensörü Aralığı/Performansı
P0198,Motor Yağı Sıcaklık Sensörü Düşük
P0199,Motor Yağı Sıcaklık Sensörü Yüksek
P0200,Motor Yağı Sıcaklık Sensörü Aralıklı
P0201,Enjektör Devresi Arızası
P0202,Enjektör Devresi Arızası - Silindir 1
P0203,Enjektör Devresi Arızası - Silindir 2
P0204,Enjektör Devresi Arızası - Silindir 3
P0205,Enjektör Devresi Arızası - Silindir 4
